TIPO DE IDENTIFICACION|NUMERO DE IDENTIFICACION|DIRECCION|CIUDAD|NUMERO
NIT|45529471|146-7199 Urna, Rd.|Termeno sulla strada del vino/Tramin an der Weinstrasse|12714
CC|16126239|Ap #650-3538 Nullam Avenue|Newtonmore|03653
PS|23294962|P.O. Box 858, 1511 Lorem, Rd.|Springdale|01769
DI|35188591|Ap #257-5650 Integer Road|Castelnuovo Magra|92970
PS|13686904|436-1752 Quisque Ave|Squillace|56568
NIT|10576953|P.O. Box 285, 9197 Ac Rd.|Champdani|71403
CE|27813964|Ap #260-4545 Mauris Rd.|Whitchurch|41708
NIT|26336217|8385 Pede Road|Eckernförde|88984
DI|48667266|2000 Ipsum Street|Prenzlau|99742
CE|26229218|662-7755 Cras Av.|Malartic|43465
CC|12965344|8274 Placerat Road|Schwerin|69023
CC|26331386|Ap #793-5670 Libero Rd.|Miramichi|10243
CC|48765021|P.O. Box 394, 2946 Nascetur Avenue|Vico nel Lazio|55974
CE|43926021|5893 Donec Rd.|Cumberland|52406
CE|17708950|6862 Mauris Ave|Opheylissem|18835
NIT|28638628|P.O. Box 789, 9690 Commodo Street|St. John's|99475
CE|23669989|P.O. Box 197, 6731 Ornare Av.|Stroud|89278
CC|32020740|Ap #290-4124 Eleifend Avenue|Lakewood|48414
CE|34524626|Ap #906-3155 Turpis Av.|Limón (Puerto Limón)|12895
PS|33405799|8161 A Avenue|Petit-Hallet|73851
DI|27205379|914 Egestas Rd.|Fort Resolution|71071
NIT|23065917|Ap #729-2806 Tincidunt, St.|Canora|03394
CE|40838296|P.O. Box 488, 1708 Elementum Street|Thiaumont|92027
DI|45784715|P.O. Box 905, 5098 Placerat. Rd.|Guadalupe|69257
CC|13383644|Ap #206-6652 Facilisis Rd.|Rapagnano|88206
PS|19246620|Ap #372-7788 Metus Rd.|Launceston|22263
DI|45811773|P.O. Box 626, 9393 Et, Rd.|Buin|98470
DI|16505778|934-9690 Suspendisse Rd.|Sauris|91583
NIT|28310895|Ap #358-4377 Eget Avenue|Fort Simpson|53283
DI|29821263|501-7437 Risus. Street|Gwadar|44906
DI|5993507|9803 Nunc, Avenue|Brive-la-Gaillarde|29641
DI|5075741|P.O. Box 973, 8925 Non, Ave|Torrevieja|46293
NIT|48842787|Ap #734-1499 Sed Rd.|Titagarh|83321
NIT|14410970|Ap #993-9313 Gravida Rd.|Trazegnies|91365
CC|16380726|7009 Amet Road|Stirling|93073
CE|18202098|P.O. Box 639, 5039 Magnis St.|Kumbakonam|31775
CC|15332180|306-9183 Ac Road|Jhelum|42882
CC|7180069|543-834 Elit. Avenue|Castellina in Chianti|17165
PS|13618631|Ap #808-1257 Sollicitudin Ave|Castelnuovo Magra|15226
CE|43605142|6772 Integer Road|Pollein|37077
PS|20036825|Ap #594-4090 Nunc Street|Bionaz|93224
PS|45748657|Ap #372-9466 Sed Avenue|Puno|70140
CC|7867175|P.O. Box 157, 4566 Neque St.|Springdale|60616
CC|30917308|Ap #379-3409 Et Rd.|Curridabat|34909
CC|23136554|185-2130 Vulputate Avenue|Scunthorpe|08105
